0.000000	1.520907	sil
1.520907	1.950476	4
2.275556	2.681905	tram
3.053424	3.552653	2
3.889342	4.365351	muoi
4.702041	5.108390	tu
5.456689	5.816599	trieu
6.234558	6.791837	2
7.105306	7.523265	tram
7.906395	8.347574	5
8.765533	9.241542	muoi
9.520181	9.798821	mot
10.216780	10.657959	nghin
11.075918	11.505488	3
11.795737	12.225306	tram
12.608435	13.003175	8
13.351474	13.781043	muoi
14.129342	14.477642	3
14.477642	15.412880	sil
15.412880	16.439728	sil
16.439728	16.869297	8
17.205986	17.647166	tram
18.065125	18.390204	trieu
18.842993	19.423492	2
19.725351	20.154921	tram
20.607710	21.037279	8
21.397188	21.826757	muoi
22.256327	22.616236	tu
23.092245	23.510204	nghin
23.997823	24.392562	8
24.764082	25.135601	tram
25.600000	26.017959	m1
26.435918	26.923537	2
26.923537	28.169977	sil
28.169977	29.315193	sil
29.315193	29.744762	4
30.093061	30.545850	tram
30.882540	31.416599	2
31.695238	32.148027	muoi
32.531156	32.902676	tu
33.285805	33.657324	trieu
34.005624	34.493243	6
34.876372	35.247891	tram
35.805170	36.234739	9
36.548209	37.012608	muoi
37.477007	37.906576	8
38.208435	38.661224	nghin
39.114014	39.531973	3
39.949932	40.379501	tram
40.716190	41.238639	6
41.563719	42.004898	muoi
42.364807	42.817596	9
42.817596	43.858594	sil
43.858594	44.930612	sil
44.930612	45.395011	8
45.708481	46.114830	tram
46.463129	46.950748	6
47.333878	47.786667	muoi
48.169796	48.529705	tu
48.959274	49.330794	trieu
49.795193	50.224762	3
50.561451	50.991020	tram
51.420590	51.734059	7
52.152018	52.604807	muoi
52.976327	53.382676	3
53.742585	54.160544	nghin
54.555283	54.950023	8
55.275102	55.704671	tram
56.134240	56.528980	8
56.865669	57.330068	muoi
57.631927	57.957007	mot
57.957007	59.082812	sil
59.082812	60.116463	sil
60.116463	60.522812	1
60.940771	61.405170	tram
61.788299	62.217868	4
62.542948	63.030567	muoi
63.262766	63.727166	lam
64.110295	64.539864	trieu
64.946213	65.329342	7
65.724082	66.107211	tram
66.560000	66.931519	4
67.314649	67.790658	muoi
68.034467	68.568526	6
68.998095	69.404444	nghin
69.729524	70.240363	0
70.658322	71.111111	tram
71.540680	72.063129	m1
72.330159	72.678458	3
72.678458	73.697506	sil
74.327075	74.895964	2
75.162993	75.569342	tram
75.917642	76.440091	2
76.625850	77.113469	muoi
77.508209	77.868118	7
78.146757	78.506667	trieu
78.959456	79.284535	8
79.632834	80.015964	tram
80.352653	80.793832	5
81.176961	81.618141	muoi
81.954830	82.291519	7
82.651429	83.046168	nghin
83.382857	83.742766	1
84.207166	84.578685	tram
84.857324	85.437823	6
85.693243	86.157642	muoi
86.459501	86.912290	2
86.912290	87.905850	sil
87.905850	88.735057	sil
88.735057	89.118186	7
89.489705	89.919274	tram
90.279184	90.708753	3
91.033832	91.463401	muoi
91.834921	92.171610	tu
92.554739	92.914649	trieu
93.355828	93.680907	1
94.145306	94.528435	tram
94.958005	95.352744	3
95.677823	96.130612	muoi
96.525351	96.896871	8
97.198730	97.581859	nghin
98.034649	98.406168	4
98.777687	99.160816	tram
99.532336	99.915465	linh
100.286984	100.693333	9
100.693333	101.707846	sil
101.707846	102.341950	sil
102.341950	102.887619	6
103.282358	103.723537	tram
104.141497	104.524626	7
104.954195	105.372154	muoi
105.697234	106.231293	2
106.544762	106.904671	trieu
107.357460	107.879909	6
108.228209	108.588118	tram
109.029297	109.482086	9
109.923265	110.399274	muoi
110.782404	111.177143	3
111.560272	111.966621	nghin
112.233651	112.709660	6
113.150839	113.557188	tram
113.951927	114.404717	8
114.753016	115.205805	muoi
115.577324	115.890794	3
115.890794	116.917551	sil
116.917551	118.027029	sil
118.027029	118.561088	2
118.886168	119.292517	tram
119.826576	120.221315	3
120.592834	121.068844	muoi
121.440363	121.788662	7
122.218231	122.589751	trieu
123.135420	123.541769	4
123.866848	124.308027	tram
124.760816	125.178776	3
125.527075	125.956644	muoi
126.281723	126.722902	nghin
127.198912	127.523991	7
127.930340	128.325079	tram
128.766259	129.149388	4
129.532517	129.996916	muoi
130.345215	130.670295	mot
130.670295	132.069206	sil
132.069206	133.154830	sil
133.154830	133.537959	1
134.025578	134.466757	tram
134.791837	135.291066	m1
135.685805	136.092154	3
136.394014	136.753923	trieu
137.287982	137.671111	8
138.019410	138.425760	tram
138.890159	139.250068	7
139.656417	140.167256	muoi
140.445896	140.805805	7
141.188934	141.653333	nghin
142.013243	142.477642	9
142.860771	143.243900	tram
143.661859	144.079819	5
144.520998	144.985397	muoi
145.368526	145.763265	3
145.763265	147.191837	sil
